# run_id: 2026-07-10_dossier_philos_imm_cv_ct_pmbm_coverage_land_ivgate
# started_at: 2026-07-10T10:07:00Z
# git_sha: unknown
# build_type: Release
# compiler: unknown
# host: unknown
# seeds: [0]
# configs: 1
# scenarios: 2
# total_runs: 46
# elapsed_seconds: 2.71448
run_id,config,scenario,seed,metric,value,unit
2026-07-10_dossier_philos_imm_cv_ct_pmbm_coverage_land_ivgate,imm_cv_ct_pmbm_coverage_land_ivgate,philos,0,wall_seconds,1.36715,s
2026-07-10_dossier_philos_imm_cv_ct_pmbm_coverage_land_ivgate,imm_cv_ct_pmbm_coverage_land_ivgate,philos,0,ospa_mean,487.205,m
2026-07-10_dossier_philos_imm_cv_ct_pmbm_coverage_land_ivgate,imm_cv_ct_pmbm_coverage_land_ivgate,philos,0,ospa_p95,500,m
2026-07-10_dossier_philos_imm_cv_ct_pmbm_coverage_land_ivgate,imm_cv_ct_pmbm_coverage_land_ivgate,philos,0,gospa_mean,73.0554,m
2026-07-10_dossier_philos_imm_cv_ct_pmbm_coverage_land_ivgate,imm_cv_ct_pmbm_coverage_land_ivgate,philos,0,gospa_p95,91.8166,m
2026-07-10_dossier_philos_imm_cv_ct_pmbm_coverage_land_ivgate,imm_cv_ct_pmbm_coverage_land_ivgate,philos,0,gospa_rms,75.9902,m
2026-07-10_dossier_philos_imm_cv_ct_pmbm_coverage_land_ivgate,imm_cv_ct_pmbm_coverage_land_ivgate,philos,0,gospa_localization,54.511,m2
2026-07-10_dossier_philos_imm_cv_ct_pmbm_coverage_land_ivgate,imm_cv_ct_pmbm_coverage_land_ivgate,philos,0,gospa_missed,2170,m2
2026-07-10_dossier_philos_imm_cv_ct_pmbm_coverage_land_ivgate,imm_cv_ct_pmbm_coverage_land_ivgate,philos,0,gospa_false,3550,m2
2026-07-10_dossier_philos_imm_cv_ct_pmbm_coverage_land_ivgate,imm_cv_ct_pmbm_coverage_land_ivgate,philos,0,card_err_mean,6.9,tracks
