rank,lat,lon,returns,dwell,nscen,d_fixed_m,fixed_class,d_radar_m,d_shore_m,d_aid_m,d_ownship_m,d_ais_m,in_coverage,in_moorarea,class
264,42.355735,-71.077922,11,0.529,1,22.0,SLCONS,22.0,22.0,2502.0,317.8,2319.1,1,0,SUPPRESS_CHARTED
265,42.355128,-71.077358,11,0.832,1,29.0,BRIDGE,29.0,103.7,2466.9,399.6,2274.3,1,0,SUPPRESS_CHARTED
266,42.354635,-71.077315,11,0.937,1,11.0,BUISGL,11.0,152.6,2473.5,446.3,2272.7,1,0,SUPPRESS_CHARTED
267,42.355817,-71.077303,11,0.916,1,28.5,SLCONS,28.5,28.5,2450.4,338.9,2267.4,1,0,SUPPRESS_CHARTED
268,42.355329,-71.077015,11,0.905,1,37.7,BRIDGE,37.7,87.4,2435.4,397.2,2245.8,1,0,SUPPRESS_CHARTED
269,42.355622,-71.077956,11,0.916,1,31.4,SLCONS,31.4,31.4,2506.6,326.6,2322.9,1,0,SUPPRESS_CHARTED
270,42.361815,-71.079748,11,0.864,1,18.5,BUISGL,18.5,65.3,2645.3,332.9,2207.8,1,0,SUPPRESS_CHARTED
271,42.361021,-71.079169,11,0.741,1,8.3,BRIDGE,8.3,26.8,2588.8,246.6,2205.5,1,0,SUPPRESS_CHARTED
272,42.355370,-71.076746,11,0.751,1,59.5,BRIDGE,59.5,90.2,2412.8,405.8,2223.6,1,0,UNKNOWN_INCOV
273,42.358052,-71.074988,11,0.731,1,3.4,SLCONS,3.4,3.4,2237.4,358.0,2046.8,1,0,SUPPRESS_CHARTED
274,42.357846,-71.084356,11,0.669,1,273.1,SLCONS,273.1,125.6,3007.4,107.5,2750.2,1,0,KEEP_INCOV_UNCHARTED
275,42.374977,-71.049920,11,0.823,1,7.1,PONTON,7.1,33.2,519.9,286.8,659.5,1,0,SUPPRESS_CHARTED
276,42.375312,-71.042701,11,0.731,1,5.9,PILPNT,5.9,60.3,493.8,331.2,516.7,0,0,SUPPRESS_CHARTED
277,42.375584,-71.051162,11,0.750,1,4.5,BUISGL,4.5,64.9,638.8,371.8,650.2,0,0,SUPPRESS_CHARTED
278,42.375554,-71.042939,11,0.752,1,7.1,PILPNT,7.1,54.6,508.1,307.6,489.4,0,0,SUPPRESS_CHARTED
