rank,lat,lon,returns,dwell,nscen,d_fixed_m,fixed_class,d_radar_m,d_shore_m,d_aid_m,d_ownship_m,d_ais_m,in_coverage,in_moorarea,class
410,42.377326,-71.048492,9,0.750,1,12.2,SLCONS,12.2,12.2,689.1,178.5,460.7,0,0,SUPPRESS_CHARTED
411,42.378048,-71.049898,9,0.584,1,1.2,BUISGL,1.2,51.1,807.2,305.3,418.7,0,0,SUPPRESS_CHARTED
412,42.375069,-71.049330,9,0.678,1,2.0,PONTON,2.0,22.3,497.3,238.0,700.8,0,0,SUPPRESS_CHARTED
413,42.379375,-71.041714,9,0.585,1,3.0,SLCONS,3.0,3.0,544.2,358.9,116.3,0,0,SUPPRESS_CHARTED
414,42.378715,-71.048486,9,0.563,1,38.2,SLCONS,38.2,38.2,806.2,208.0,308.9,0,0,SUPPRESS_CHARTED
415,42.376493,-71.049021,9,0.542,1,9.2,PONTON,9.2,58.5,620.1,201.1,559.6,0,0,SUPPRESS_CHARTED
416,42.363041,-71.046520,8,0.761,2,85.5,PONTON,85.5,149.9,465.5,91.8,352.4,1,0,UNKNOWN_INCOV
417,42.376733,-71.048530,8,0.145,2,14.0,PONTON,14.0,27.2,628.3,166.9,526.4,0,0,SUPPRESS_CHARTED
418,42.377853,-71.051516,8,0.759,2,10.3,BUISGL,10.3,181.8,853.9,433.7,509.1,0,0,SUPPRESS_CHARTED
419,42.377370,-71.051487,8,0.813,2,12.8,BUISGL,12.8,165.4,808.4,419.4,550.7,0,0,SUPPRESS_CHARTED
420,42.377661,-71.050862,8,0.552,2,2.9,BUISGL,2.9,130.2,806.9,376.5,495.2,0,0,SUPPRESS_CHARTED
421,42.353598,-71.085556,8,0.673,2,236.1,BUISGL,236.1,249.6,3160.1,446.8,2955.6,1,0,KEEP_INCOV_UNCHARTED
422,42.354381,-71.083351,8,0.900,2,48.7,SLCONS,48.7,48.7,2966.3,413.8,2769.4,1,0,SUPPRESS_CHARTED
423,42.358963,-71.084659,8,0.874,3,191.4,SLCONS,191.4,150.4,3029.7,127.8,2711.1,1,0,KEEP_INCOV_UNCHARTED
424,42.360307,-71.082484,8,0.925,3,2.0,SLCONS,2.0,2.0,2855.0,289.6,2483.7,1,0,SUPPRESS_CHARTED
425,42.361616,-71.084660,8,0.875,2,161.0,BUISGL,161.0,217.4,3044.2,402.8,2585.8,1,0,KEEP_INCOV_UNCHARTED
426,42.358011,-71.090075,8,0.866,2,636.2,SLCONS,636.2,595.4,3476.3,205.3,3155.8,1,0,KEEP_INCOV_UNCHARTED
427,42.360054,-71.087429,8,0.198,2,378.1,SLCONS,378.1,378.1,3259.6,181.8,2863.1,1,0,KEEP_INCOV_UNCHARTED
428,42.362153,-71.085912,8,0.601,1,253.5,BUISGL,253.5,333.3,3152.7,432.9,2660.1,1,0,KEEP_INCOV_UNCHARTED
429,42.360476,-71.087438,8,0.692,2,379.9,SLCONS,379.9,379.9,3262.3,228.8,2845.1,1,0,KEEP_INCOV_UNCHARTED
430,42.359388,-71.087321,8,0.927,2,375.9,SLCONS,375.9,369.2,3248.8,108.0,2885.6,1,0,KEEP_INCOV_UNCHARTED
431,42.359860,-71.084927,8,0.849,3,173.4,SLCONS,173.4,172.4,3053.3,207.7,2685.5,1,0,KEEP_INCOV_UNCHARTED
432,42.360328,-71.083370,8,0.691,3,46.6,SLCONS,46.6,46.6,2927.8,312.7,2547.8,1,0,SUPPRESS_CHARTED
433,42.354915,-71.081651,8,0.376,2,1.4,SLCONS,1.4,1.4,2818.7,309.1,2627.5,1,0,SUPPRESS_CHARTED
434,42.359609,-71.026843,8,0.726,1,56.7,DYKCON,56.7,59.8,220.1,643.2,89.6,1,0,UNKNOWN_INCOV
435,42.365513,-71.037807,8,0.519,1,73.9,SLCONS,73.9,73.9,900.5,659.5,566.9,1,0,UNKNOWN_INCOV
436,42.357143,-71.029850,8,0.819,1,170.6,SLCONS,123.6,170.6,123.6,349.4,370.1,1,1,KEEP_ANCHORAGE
437,42.357612,-71.030753,8,0.726,1,198.9,PILPNT,137.9,215.0,137.9,274.7,388.1,1,1,KEEP_ANCHORAGE
438,42.357600,-71.092847,8,0.615,1,866.2,SLCONS,866.2,587.7,3705.5,436.9,3381.1,1,0,KEEP_INCOV_UNCHARTED
439,42.357120,-71.092491,8,0.960,1,842.4,SLCONS,842.4,617.0,3678.8,418.0,3377.6,1,0,KEEP_INCOV_UNCHARTED
440,42.358490,-71.090412,8,0.866,1,646.1,SLCONS,646.1,623.1,3502.7,233.9,3158.0,1,0,KEEP_INCOV_UNCHARTED
441,42.359440,-71.086114,8,0.583,1,277.7,SLCONS,277.7,270.0,3149.7,155.4,2793.6,1,0,KEEP_INCOV_UNCHARTED
442,42.360313,-71.083154,8,0.927,1,29.3,SLCONS,29.3,29.3,2909.9,322.3,2532.5,1,0,SUPPRESS_CHARTED
443,42.358911,-71.084924,8,0.362,2,212.2,SLCONS,212.2,172.2,3051.5,110.5,2733.0,1,0,KEEP_INCOV_UNCHARTED
444,42.354875,-71.083074,8,0.220,2,38.0,SLCONS,38.0,20.2,2934.8,354.7,2744.5,1,0,SUPPRESS_CHARTED
445,42.355051,-71.082470,8,0.508,1,38.9,SLCONS,38.9,29.6,2882.8,314.9,2694.4,1,0,SUPPRESS_CHARTED
446,42.355803,-71.076689,8,0.884,1,46.5,SLCONS,46.5,46.5,2400.7,369.7,2218.0,1,0,SUPPRESS_CHARTED
447,42.361206,-71.080977,8,0.718,1,19.6,BUISGL,19.6,38.8,2738.6,288.6,2328.2,1,0,SUPPRESS_CHARTED
448,42.357120,-71.074831,8,0.696,1,12.6,SLCONS,12.6,12.6,2231.6,401.1,2044.4,1,0,SUPPRESS_CHARTED
449,42.356257,-71.076363,8,0.728,1,9.1,SLCONS,9.1,9.1,2367.3,350.5,2182.9,1,0,SUPPRESS_CHARTED
450,42.361656,-71.080082,8,0.686,1,8.3,BUISGL,8.3,56.8,2670.6,317.6,2240.2,1,0,SUPPRESS_CHARTED
451,42.357131,-71.074286,8,0.571,1,7.8,BRIDGE,7.8,10.1,2186.9,441.9,1999.9,1,0,SUPPRESS_CHARTED
452,42.361484,-71.077057,8,0.728,1,2.3,BRIDGE,2.3,10.4,2421.5,357.9,2028.6,1,0,SUPPRESS_CHARTED
453,42.354852,-71.076709,8,0.717,1,51.9,BUISGL,51.9,145.6,2420.0,455.5,2221.9,1,0,UNKNOWN_INCOV
454,42.361826,-71.079204,8,0.854,1,52.0,BUISGL,52.0,53.6,2601.1,335.3,2167.1,1,0,UNKNOWN_INCOV
455,42.361457,-71.077992,8,0.927,1,13.2,BRIDGE,13.2,15.9,2497.4,319.2,2097.4,1,0,SUPPRESS_CHARTED
456,42.355864,-71.076196,8,0.697,1,54.8,SLCONS,54.8,54.8,2359.6,391.2,2177.0,1,0,UNKNOWN_INCOV
457,42.355519,-71.076149,8,0.688,1,91.8,SLCONS,91.8,91.8,2361.7,422.3,2174.5,1,0,UNKNOWN_INCOV
458,42.354891,-71.080987,8,0.678,1,20.3,SLCONS,20.3,20.3,2765.3,306.1,2573.1,1,0,SUPPRESS_CHARTED
459,42.355408,-71.079497,8,0.720,1,9.1,SLCONS,9.1,9.1,2635.4,274.9,2449.6,1,0,SUPPRESS_CHARTED
460,42.355589,-71.078231,8,0.626,1,25.8,SLCONS,25.8,25.8,2529.5,316.4,2345.5,1,0,SUPPRESS_CHARTED
461,42.354450,-71.077647,8,0.574,1,4.1,BUISGL,4.1,161.2,2504.3,445.8,2301.0,1,0,SUPPRESS_CHARTED
462,42.375447,-71.047595,8,0.633,1,3.4,PONTON,3.4,96.5,467.6,91.6,629.8,0,0,SUPPRESS_CHARTED
463,42.374652,-71.050308,8,0.626,1,14.5,SLCONS,14.5,14.5,516.2,330.2,611.4,1,0,SUPPRESS_CHARTED
464,42.376657,-71.050045,8,0.604,1,14.5,BUISGL,14.5,27.2,676.6,287.1,565.6,0,0,SUPPRESS_CHARTED
465,42.375107,-71.050591,8,0.740,1,3.6,SLCONS,3.6,3.6,568.1,334.9,634.3,0,0,SUPPRESS_CHARTED
466,42.373303,-71.045026,8,0.606,1,32.4,SLCONS,32.4,32.4,211.3,317.5,721.3,1,0,SUPPRESS_CHARTED
467,42.376258,-71.050615,8,0.750,1,9.1,BUISGL,9.1,56.9,666.4,327.4,624.2,0,0,SUPPRESS_CHARTED
468,42.380323,-71.048409,8,0.918,1,26.6,BUISGL,26.6,33.8,674.5,279.5,137.7,0,0,SUPPRESS_CHARTED
469,42.376041,-71.049983,8,0.855,1,0.4,SLCONS,0.4,0.4,616.5,273.9,628.6,0,0,SUPPRESS_CHARTED
470,42.377588,-71.051756,8,0.928,1,6.3,BUISGL,6.3,195.8,841.1,446.6,544.5,0,0,SUPPRESS_CHARTED
471,42.378951,-71.048417,8,0.875,1,27.3,SLCONS,27.3,27.3,782.6,206.7,282.1,0,0,SUPPRESS_CHARTED
472,42.375835,-71.041402,8,0.627,1,4.1,SLCONS,4.1,4.1,601.2,426.0,475.5,0,0,SUPPRESS_CHARTED
473,42.378542,-71.050676,8,0.928,1,4.3,BUISGL,4.3,103.0,884.7,378.9,406.2,0,0,SUPPRESS_CHARTED
474,42.376278,-71.048740,8,0.844,1,3.2,PONTON,3.2,73.9,588.7,174.3,579.0,0,0,SUPPRESS_CHARTED
475,42.378998,-71.049637,8,0.500,1,52.0,SLCONS,52.0,52.0,848.2,306.4,315.8,0,0,UNKNOWN_OUTCOV
476,42.378277,-71.042103,8,0.815,1,30.5,BUISGL,30.5,39.5,665.1,317.9,199.2,0,0,SUPPRESS_CHARTED
477,42.379405,-71.050625,8,0.574,1,13.1,BUISGL,13.1,24.2,811.9,394.8,332.8,0,0,SUPPRESS_CHARTED
478,42.378966,-71.048726,8,0.834,1,39.8,SLCONS,39.8,39.8,798.3,232.0,287.4,0,0,SUPPRESS_CHARTED
479,42.375575,-71.048703,8,0.740,1,10.7,SLCONS,10.7,30.8,517.3,171.8,655.8,0,0,SUPPRESS_CHARTED
480,42.377149,-71.042899,8,0.795,1,2.0,SLCONS,62.3,62.3,672.4,277.7,312.1,0,0,UNKNOWN_OUTCOV
481,42.379163,-71.050568,8,0.594,1,4.8,BUISGL,4.8,43.5,839.2,384.9,348.2,0,0,SUPPRESS_CHARTED
482,42.378321,-71.049331,8,0.646,1,31.7,SLCONS,31.7,31.7,816.7,265.8,371.9,0,0,SUPPRESS_CHARTED
483,42.375544,-71.042368,8,0.648,1,8.4,PILPNT,8.4,25.4,530.0,354.4,492.9,0,0,SUPPRESS_CHARTED
484,42.378473,-71.049612,8,0.709,1,46.8,BUISGL,46.8,58.6,841.0,292.2,366.0,0,0,SUPPRESS_CHARTED
485,42.377602,-71.051140,8,0.584,1,11.6,BUISGL,11.6,153.6,813.5,397.4,513.3,0,0,SUPPRESS_CHARTED
486,42.378911,-71.050025,8,0.542,1,48.0,BUISGL,48.0,68.3,876.5,336.3,341.4,0,0,SUPPRESS_CHARTED
487,42.380492,-71.047784,8,0.678,1,17.2,BUISGL,17.2,21.9,623.5,260.1,103.9,0,0,SUPPRESS_CHARTED
488,42.375767,-71.047814,8,0.574,1,2.8,PONTON,2.8,96.5,507.1,96.1,613.5,0,0,SUPPRESS_CHARTED
489,42.377589,-71.050039,8,0.500,1,7.1,BUISGL,7.1,68.2,766.6,308.9,469.7,0,0,SUPPRESS_CHARTED
490,42.364569,-71.041145,7,0.778,2,40.5,SLCONS,40.5,40.5,828.5,365.9,362.2,1,0,SUPPRESS_CHARTED
491,42.358268,-71.046290,7,0.637,2,127.9,OBSTRN,144.8,192.9,144.8,507.0,342.0,1,1,KEEP_ANCHORAGE
492,42.365457,-71.038111,7,0.318,2,66.9,SLCONS,66.9,66.9,916.2,634.0,544.1,1,0,UNKNOWN_INCOV
493,42.371823,-71.054747,7,0.823,1,11.8,SLCONS,11.8,11.8,742.0,98.6,141.3,1,0,SUPPRESS_CHARTED
494,42.371817,-71.054168,7,0.823,1,0.7,SLCONS,0.7,0.7,694.5,98.5,165.1,1,0,SUPPRESS_CHARTED
495,42.372486,-71.053936,7,0.823,1,5.1,SLCONS,5.1,5.1,683.7,175.4,237.4,1,0,SUPPRESS_CHARTED
496,42.371893,-71.053296,7,0.823,1,2.9,SLCONS,53.4,53.4,623.5,141.9,222.0,1,0,UNKNOWN_INCOV
497,42.374237,-71.050221,7,0.759,2,9.1,SLCONS,9.1,9.1,480.2,345.9,583.8,1,0,SUPPRESS_CHARTED
498,42.372468,-71.054839,7,0.759,1,5.0,SLCONS,5.0,5.0,756.7,170.3,207.4,1,0,SUPPRESS_CHARTED
499,42.378958,-71.051110,7,0.271,2,10.4,BUISGL,10.4,56.6,853.8,424.6,395.8,0,0,SUPPRESS_CHARTED
500,42.378775,-71.051141,7,0.315,2,5.3,BUISGL,5.3,77.0,873.7,422.2,412.0,0,0,SUPPRESS_CHARTED
501,42.373968,-71.051160,7,0.198,2,31.0,BUISGL,31.0,35.4,525.4,427.5,508.0,1,0,SUPPRESS_CHARTED
502,42.372632,-71.049656,7,0.443,2,2.7,PONTON,2.7,4.6,347.4,437.3,521.7,1,0,SUPPRESS_CHARTED
503,42.377227,-71.051519,7,0.532,2,21.7,BUISGL,21.7,162.2,797.2,418.5,565.2,0,0,SUPPRESS_CHARTED
504,42.375828,-71.045677,7,0.137,2,154.1,PONTON,154.1,193.9,484.1,80.7,510.6,0,0,UNKNOWN_OUTCOV
505,42.378308,-71.049093,7,0.802,2,27.3,SLCONS,27.3,27.3,808.5,246.4,366.4,0,0,SUPPRESS_CHARTED
506,42.361421,-71.084054,7,0.547,2,106.8,BUISGL,106.8,168.6,2992.6,395.0,2548.2,1,0,KEEP_INCOV_UNCHARTED
507,42.360545,-71.082202,7,0.698,2,13.4,SLCONS,13.4,13.4,2833.3,287.8,2451.0,1,0,SUPPRESS_CHARTED
508,42.353740,-71.085242,7,0.825,2,217.8,BUISGL,217.8,219.5,3131.9,438.3,2928.7,1,0,KEEP_INCOV_UNCHARTED
509,42.360290,-71.084908,7,0.622,2,171.1,SLCONS,171.1,171.1,3053.7,254.3,2663.6,1,0,KEEP_INCOV_UNCHARTED
510,42.360353,-71.084604,7,0.627,2,146.8,SLCONS,146.8,146.8,3029.1,268.0,2637.9,1,0,KEEP_INCOV_UNCHARTED
511,42.358336,-71.089576,7,0.804,2,585.5,SLCONS,585.5,554.4,3434.4,163.8,3103.2,1,0,KEEP_INCOV_UNCHARTED
512,42.354613,-71.082484,7,0.549,2,7.0,SLCONS,7.0,7.0,2891.7,360.4,2697.1,1,0,SUPPRESS_CHARTED
513,42.358289,-71.091626,7,0.675,2,748.3,SLCONS,748.3,688.0,3602.9,331.8,3258.0,1,0,KEEP_INCOV_UNCHARTED
514,42.359890,-71.083774,7,0.582,2,79.2,SLCONS,79.2,77.8,2958.8,253.8,2599.1,1,0,UNKNOWN_INCOV
515,42.360922,-71.087705,7,0.266,2,400.7,BUISGL,400.7,408.5,3287.2,279.4,2846.6,1,0,KEEP_INCOV_UNCHARTED
516,42.359195,-71.084967,7,0.536,3,198.6,SLCONS,198.6,175.7,3055.1,137.0,2721.5,1,0,KEEP_INCOV_UNCHARTED
517,42.360782,-71.087710,7,0.174,2,401.3,BUISGL,401.3,406.2,3286.6,264.0,2852.8,1,0,KEEP_INCOV_UNCHARTED
518,42.359825,-71.086143,7,0.750,2,273.3,SLCONS,273.3,272.4,3153.1,187.7,2777.4,1,0,KEEP_INCOV_UNCHARTED
519,42.360536,-71.082833,7,0.535,3,33.6,SLCONS,33.6,33.6,2885.0,327.7,2497.9,1,0,SUPPRESS_CHARTED
520,42.361834,-71.085306,7,0.362,2,208.2,BUISGL,208.2,272.5,3099.4,417.1,2626.1,1,0,KEEP_INCOV_UNCHARTED
521,42.360121,-71.085220,7,0.552,2,196.6,SLCONS,196.6,196.6,3078.5,231.1,2694.7,1,0,KEEP_INCOV_UNCHARTED
522,42.358460,-71.089264,7,0.883,2,556.8,SLCONS,556.8,528.8,3408.5,140.2,3074.1,1,0,KEEP_INCOV_UNCHARTED
523,42.360775,-71.081854,7,0.425,2,23.8,SLCONS,23.8,23.8,2806.5,286.0,2414.1,1,0,SUPPRESS_CHARTED
524,42.361859,-71.085936,7,0.756,2,258.6,BUISGL,258.6,314.6,3151.2,401.1,2673.4,1,0,KEEP_INCOV_UNCHARTED
525,42.359613,-71.087382,7,0.360,2,377.0,SLCONS,377.0,374.2,3254.2,132.8,2879.6,1,0,KEEP_INCOV_UNCHARTED
526,42.359002,-71.085764,7,0.301,2,266.8,SLCONS,266.8,241.3,3120.5,104.8,2789.6,1,0,KEEP_INCOV_UNCHARTED
527,42.358277,-71.091008,7,0.361,2,699.7,SLCONS,699.7,672.1,3552.2,281.0,3212.4,1,0,KEEP_INCOV_UNCHARTED
528,42.358487,-71.090136,7,0.787,2,624.4,SLCONS,624.4,600.4,3480.1,211.3,3137.6,1,0,KEEP_INCOV_UNCHARTED
529,42.360056,-71.083076,7,0.943,2,20.6,SLCONS,20.6,20.6,2902.2,305.0,2539.7,1,0,SUPPRESS_CHARTED
530,42.353126,-71.030809,7,0.777,1,329.7,SLCONS,329.7,329.7,372.2,547.6,280.7,1,0,KEEP_INCOV_UNCHARTED
531,42.364137,-71.028030,7,0.695,1,7.0,SLCONS,7.0,32.4,426.5,898.1,439.0,1,0,SUPPRESS_CHARTED
532,42.359612,-71.027136,7,0.737,1,33.8,DYKCON,33.8,37.0,198.2,621.1,75.2,1,0,SUPPRESS_CHARTED
533,42.363842,-71.042041,7,0.747,1,58.7,SLCONS,58.7,58.7,719.2,272.1,373.7,1,0,UNKNOWN_INCOV
534,42.354424,-71.031691,7,0.632,1,418.6,SLCONS,333.5,418.6,333.5,386.3,250.4,1,0,KEEP_INCOV_UNCHARTED
535,42.358066,-71.091681,7,0.866,1,759.4,SLCONS,759.4,683.5,3608.0,336.5,3272.4,1,0,KEEP_INCOV_UNCHARTED
536,42.356756,-71.083223,7,0.802,2,238.3,SLCONS,238.3,32.4,2922.0,212.8,2733.9,1,0,SUPPRESS_CHARTED
537,42.359650,-71.084350,7,0.630,2,131.9,SLCONS,131.9,125.1,3005.3,205.2,2653.4,1,0,KEEP_INCOV_UNCHARTED
538,42.358870,-71.091912,7,0.660,1,757.4,SLCONS,757.4,664.5,3625.6,362.4,3253.4,1,0,KEEP_INCOV_UNCHARTED
539,42.357338,-71.092561,7,0.566,1,853.8,SLCONS,853.8,611.2,3683.4,418.4,3372.3,1,0,KEEP_INCOV_UNCHARTED
540,42.361563,-71.081342,7,0.634,1,5.0,BUISGL,5.0,87.3,2772.3,337.0,2338.2,1,0,SUPPRESS_CHARTED
541,42.354660,-71.078282,7,0.769,1,48.8,BUISGL,48.8,121.1,2550.9,396.5,2351.9,1,0,SUPPRESS_CHARTED
542,42.355631,-71.078648,7,0.874,1,10.1,SLCONS,10.1,10.1,2562.7,291.7,2379.8,1,0,SUPPRESS_CHARTED
543,42.362155,-71.080337,7,0.885,1,8.9,BUISGL,8.9,116.1,2698.1,375.6,2235.7,1,0,SUPPRESS_CHARTED
544,42.361147,-71.078853,7,0.718,1,3.3,BRIDGE,3.3,8.2,2564.2,264.9,2175.9,1,0,SUPPRESS_CHARTED
545,42.356722,-71.075438,7,0.905,1,19.2,SLCONS,19.2,19.2,2285.7,377.9,2099.9,1,0,SUPPRESS_CHARTED
546,42.361122,-71.081932,7,0.886,1,5.5,BUISGL,5.5,62.0,2815.9,320.1,2402.9,1,0,SUPPRESS_CHARTED
547,42.361625,-71.080907,7,0.645,1,5.7,BUISGL,5.7,78.1,2737.5,329.8,2302.9,1,0,SUPPRESS_CHARTED
548,42.361429,-71.076450,7,0.519,1,2.7,BRIDGE,2.7,8.7,2371.2,382.0,1988.3,1,0,SUPPRESS_CHARTED
549,42.354922,-71.077953,7,0.603,1,58.7,BUISGL,58.7,103.1,2519.0,388.9,2323.8,1,0,UNKNOWN_INCOV
550,42.355539,-71.079443,7,0.833,1,3.8,SLCONS,3.8,3.8,2628.8,263.8,2445.1,1,0,SUPPRESS_CHARTED
551,42.361240,-71.080772,7,0.637,1,23.1,BUISGL,23.1,34.9,2722.2,285.8,2311.5,1,0,SUPPRESS_CHARTED
552,42.355848,-71.076478,7,0.730,1,47.9,SLCONS,47.9,47.9,2382.8,376.9,2200.1,1,0,SUPPRESS_CHARTED
553,42.354934,-71.082570,7,0.721,1,29.5,SLCONS,29.5,21.2,2892.9,330.1,2703.0,1,0,SUPPRESS_CHARTED
554,42.357806,-71.075030,7,0.658,1,2.9,SLCONS,2.9,2.9,2242.3,360.4,2052.5,1,0,SUPPRESS_CHARTED
555,42.354488,-71.080632,7,0.647,1,43.5,BRIDGE,43.5,72.5,2744.3,351.7,2545.7,1,0,SUPPRESS_CHARTED
556,42.354498,-71.080428,7,0.596,1,59.5,BRIDGE,59.5,77.3,2727.6,352.1,2528.9,1,0,UNKNOWN_INCOV
557,42.374944,-71.050300,7,0.782,1,6.9,PONTON,6.9,7.8,538.4,317.4,635.8,1,0,SUPPRESS_CHARTED
558,42.376008,-71.050678,7,0.896,1,4.6,BUISGL,4.6,57.0,647.7,330.7,651.7,0,0,SUPPRESS_CHARTED
559,42.380020,-71.045437,7,0.950,1,177.9,SLCONS,177.9,177.9,542.7,165.0,204.1,0,0,UNKNOWN_OUTCOV
560,42.374901,-71.041432,7,0.585,1,27.6,BUISGL,27.6,11.6,519.3,443.1,575.7,1,0,SUPPRESS_CHARTED
561,42.378931,-71.050293,7,0.750,1,27.4,BUISGL,27.4,70.6,869.1,358.4,352.8,0,0,SUPPRESS_CHARTED
562,42.375332,-71.041072,7,0.700,1,4.4,BUISGL,4.4,36.9,574.7,462.9,536.8,0,0,SUPPRESS_CHARTED
563,42.378930,-71.042674,7,0.930,1,9.4,SLCONS,9.4,9.4,594.0,271.8,116.3,0,0,SUPPRESS_CHARTED
564,42.377650,-71.042057,7,0.899,1,4.7,SLCONS,4.7,4.7,734.8,332.4,266.7,0,0,SUPPRESS_CHARTED
565,42.378965,-71.050858,7,0.897,1,11.6,BUISGL,11.6,54.1,856.3,404.6,380.5,0,0,SUPPRESS_CHARTED
566,42.377358,-71.041491,7,0.721,1,11.3,BUISGL,11.3,5.0,741.0,384.8,312.8,0,0,SUPPRESS_CHARTED
567,42.376323,-71.042361,7,0.878,1,23.8,SLCONS,39.1,39.1,605.9,337.1,406.8,0,0,SUPPRESS_CHARTED
568,42.376266,-71.041114,7,0.543,1,8.2,SLCONS,8.2,8.2,653.9,438.6,437.2,0,0,SUPPRESS_CHARTED
569,42.379240,-71.049695,7,0.813,1,26.7,SLCONS,26.7,26.7,833.4,316.2,295.9,0,0,SUPPRESS_CHARTED
570,42.376717,-71.042107,7,0.815,1,9.3,SLCONS,33.6,33.6,654.4,349.2,366.8,0,0,SUPPRESS_CHARTED
571,42.379390,-71.046250,7,0.866,1,130.6,SLCONS,130.6,130.6,637.1,92.8,252.7,0,0,UNKNOWN_OUTCOV
572,42.377592,-71.041098,7,0.784,1,14.1,BUISGL,14.1,41.0,746.3,411.0,303.7,0,0,SUPPRESS_CHARTED
573,42.375336,-71.049991,7,0.772,1,2.0,SLCONS,2.0,2.0,554.0,280.9,685.4,0,0,SUPPRESS_CHARTED
574,42.376258,-71.051562,7,0.511,1,7.3,BUISGL,7.3,131.6,715.9,405.0,658.7,0,0,SUPPRESS_CHARTED
575,42.376749,-71.042343,7,0.669,1,10.8,SLCONS,34.7,34.7,649.0,329.4,360.1,0,0,SUPPRESS_CHARTED
576,42.378480,-71.049040,7,0.677,1,47.0,SLCONS,47.0,47.0,825.1,246.7,346.8,0,0,SUPPRESS_CHARTED
577,42.379617,-71.050551,7,0.552,1,0.8,SLCONS,0.8,0.8,790.2,395.0,312.7,0,0,SUPPRESS_CHARTED
578,42.378749,-71.049636,7,0.604,1,71.0,BUISGL,71.0,79.1,867.5,301.5,339.7,0,0,UNKNOWN_OUTCOV
579,42.378511,-71.048104,7,0.698,1,12.4,SLCONS,12.4,12.4,804.2,173.0,325.8,0,0,SUPPRESS_CHARTED
580,42.378234,-71.048103,7,0.583,1,18.4,SLCONS,18.4,18.4,776.5,165.4,356.4,0,0,SUPPRESS_CHARTED
581,42.379626,-71.049986,7,0.688,1,10.3,SLCONS,10.3,10.3,800.4,351.2,277.9,0,0,SUPPRESS_CHARTED
582,42.378452,-71.048710,7,0.646,1,50.8,SLCONS,50.8,50.8,813.6,219.7,341.7,0,0,UNKNOWN_OUTCOV
583,42.379352,-71.042434,7,0.585,1,2.6,SLCONS,2.6,2.6,546.0,301.1,79.5,0,0,SUPPRESS_CHARTED
584,42.379183,-71.051101,7,0.563,1,2.7,BUISGL,2.7,32.8,829.3,428.4,378.4,0,0,SUPPRESS_CHARTED
585,42.376023,-71.041396,7,0.512,1,4.9,SLCONS,12.1,12.1,618.4,422.2,455.6,0,0,SUPPRESS_CHARTED
586,42.378021,-71.040625,7,0.543,1,10.7,BUISGL,10.7,99.5,704.9,442.0,287.6,0,0,SUPPRESS_CHARTED
587,42.378504,-71.050207,7,0.542,1,30.7,BUISGL,30.7,95.3,863.9,340.5,387.3,0,0,SUPPRESS_CHARTED
588,42.358537,-71.046014,6,0.955,2,162.5,OBSTRN,152.8,204.9,152.8,474.6,353.5,1,1,KEEP_ANCHORAGE
589,42.357830,-71.046303,6,0.637,2,80.4,OBSTRN,174.9,214.5,174.9,555.5,362.3,1,1,KEEP_ANCHORAGE
590,42.360504,-71.045126,6,0.766,2,203.4,PONTON,203.4,208.7,277.7,255.0,378.8,1,0,KEEP_INCOV_UNCHARTED
591,42.365908,-71.039855,6,0.353,2,65.4,SLCONS,65.4,65.4,784.9,528.7,393.2,1,0,UNKNOWN_INCOV
592,42.365424,-71.038980,6,0.633,2,26.1,SLCONS,26.1,26.1,871.8,566.7,476.2,1,0,SUPPRESS_CHARTED
593,42.371746,-71.055466,6,0.823,1,28.2,SLCONS,28.2,28.2,800.6,118.5,121.8,1,0,SUPPRESS_CHARTED
594,42.378092,-71.051479,6,0.521,2,9.0,BUISGL,9.0,157.6,874.4,434.5,486.8,0,0,SUPPRESS_CHARTED
595,42.362744,-71.055722,6,0.695,1,397.4,BUISGL,397.4,403.1,776.2,844.1,528.8,1,0,KEEP_INCOV_UNCHARTED
596,42.374041,-71.049936,6,0.261,2,12.1,SLCONS,12.1,12.1,448.3,339.1,586.9,1,0,SUPPRESS_CHARTED
597,42.374873,-71.048095,6,0.303,2,3.6,PONTON,3.6,65.0,424.9,163.8,705.6,1,0,SUPPRESS_CHARTED
598,42.373344,-71.050547,6,0.315,2,2.3,SLCONS,8.2,8.2,447.2,417.6,499.4,1,0,SUPPRESS_CHARTED
599,42.360080,-71.082511,6,0.802,2,3.1,PONTON,3.1,11.1,2855.9,277.9,2497.1,1,0,SUPPRESS_CHARTED
600,42.360295,-71.087964,6,0.698,2,422.1,SLCONS,422.1,422.1,3304.6,213.6,2892.9,1,0,KEEP_INCOV_UNCHARTED
601,42.360512,-71.081915,6,0.950,2,0.5,SLCONS,0.5,0.5,2809.6,268.0,2431.6,1,0,SUPPRESS_CHARTED
602,42.360087,-71.088276,6,0.924,2,447.6,SLCONS,447.6,447.6,3329.2,198.8,2925.4,1,0,KEEP_INCOV_UNCHARTED
603,42.360748,-71.088400,6,0.422,2,458.1,BUISGL,458.1,461.7,3343.0,271.6,2906.8,1,0,KEEP_INCOV_UNCHARTED
604,42.356702,-71.082767,6,0.298,2,219.6,SLCONS,219.6,5.7,2885.2,183.9,2697.4,1,0,SUPPRESS_CHARTED
605,42.360224,-71.085495,6,0.825,3,219.1,SLCONS,219.1,219.1,3101.6,240.3,2710.4,1,0,KEEP_INCOV_UNCHARTED
